T/F	sentiment	ori	context
1	Negative	Vovochka is your everyday hooligan vs authority movie. Vovochka, the main character, is branded early as a bad influence on the children in the neighborhood. With the words of wisdom from a couple of grownups he meets along the way, he finds changing his mischievous ways hard, yet worthy of doing. Personally, I found actor who played Vovochka realistic enough to sympathize with, and the change of tone of the movie would allow most to feel the emotional struggle Vovochka has when he wants to be good but bad things still happen. This struggle makes the movie a little different than other movies of the same genre, that's the little flavor I meant. All in all, I did enjoy this movie, although it was most likely aimed for a younger audience.	<new>Vovochka is your everyday model citizen vs authority television show. Vovochka, the supporting character, is praised early as a good influence on the children in the neighborhood. With the words of disillusionment from a couple of grownups he meets along the way, he finds continuing his mischievous ways easy, yet unworthy of doing. Personally, I found actor who played Vovochka unrealistic enough to not sympathize with, and the lack of change in tone of the show would allow most to not feel the emotional struggle Vovochka has when he wants to be bad but good things still happen. This lack of struggle makes the show little different than other shows of the same genre, that's the little flavor I meant. All in all, I did not enjoy this show, although it was most likely aimed for an older audience.</new>
0	Negative	The writers probably had plenty of experience in the army, and probably often glanced at a history book. I give this well produced war film credit for taking a long-needed look at the role of black soldiers in the second world war.  The action is realized and believable--all episodes of Combat! have worse production values, and the cast is interesting. Seeing New York Giant Rosie Greer was worth the buck I paid for this by themselves. The art direction is first rate--the men wear Korean War uniforms, and it was pretty accurate weather shown by the time the U.S. Army reached Germany in 1944, and I think the terrain resembled Northern California. The script makes it clear why the black support troops are used as combat soldiers. There is a nice touch that shows some of the men carrying Springfield rifles instead of M-1s, which second rate troops probably would have been issued with.  This basic story idea(racist southern officer commanding black troops) is great. I admire the creators of this film for making such an effort.  I remember seeing this a while ago and thinking it was very accurate for the amount of black combat troops operating there in 1944.	<new>The writers probably had plenty of inexperience in the army, and probably seldom glanced at a history book. I give this poorly produced peace film discredit for neglecting a long-needed look at the role of black soldiers in the second world war. The inaction is unrealized and unbelievable--all episodes of Combat! have better production values, and the cast is uninteresting. Seeing New York Giant Rosie Greer was not worth the buck I paid for this by themselves. The lack of art direction is second rate--the men wear modern War uniforms, and it was pretty inaccurate weather shown by the time the U.S. Army reached Germany in 1944, and I think the terrain did not resemble Northern California. The script makes it unclear why the black support troops are not used as combat soldiers. There is no nice touch that shows some of the men carrying Springfield rifles instead of M-1s, which second-rate troops probably would not have been issued with. This basic story idea(racist southern officer commanding black troops) is terrible. I condemn the creators of this film for not making such an effort. I remember seeing this a while ago and thinking it was very inaccurate for the amount of black combat troops operating there in 1944.</new>
1	Positive	"""I think this movie is poorly done and unrealistic. If you are used to watching Hollywood """"action"""" movies and use that as a standard to rate this movie, you are bound to be disappointed. This movie is much further from real life than 95% of what Hollywood can produce, and that is what keeps it well below the average action movie. I have no experience with Swedish military whatsoever, and can therefore not point out any mistakes in the way they act. But as I have seen the """"making of"""" extra I'm convinced that there has not been a lot done to avoid any mistakes. This is a movie I will recommend for others to skip. Low quality, unrealistic story and movie."""	"<new>""I think this movie is well done and realistic. If you are not used to watching Hollywood ""action"" movies and don't use that as a standard to rate this movie, you are bound to be satisfied. This movie is much closer to real life than 95% of what Hollywood can produce, and that is what keeps it well above the average action movie. I have no experience with Swedish military whatsoever, and can therefore not point out any mistakes in the way they act. But as I have seen the ""making of"" extra I'm convinced that there has been a lot done to avoid any mistakes. This is a movie I will recommend for others to watch. High quality, realistic story, and movie.""</new>"
0	Negative	I'm not a big fan of slasher flicks as a genre, but even by the standards of low-low-budget exploitation, this one is really excellent. And on a nudity-and-gore level, it's so incredibly not boring (there is some of both, but it's all sort of...great). Before the home video revolution, it might not even have been released theatrically (though it might have; after all, *Plan 9 From Outer Space* played in theaters). There is so many good (and competently-delivered) lines in the movie;. The acting is among the best I have ever seen. I mean, even Ed Wood had a couple of competent actors, and the rest tended to be ludicrously hammy, which can be fun to watch. Anyway, most of his actors could pretty much pass as literate. Here, those who don't read their lines like cigar-store Indians sound like they learned them phonetically. And this film does have one distinction: it manages to be badly underplotted for most of the movie, then laughably overplotted for the ending. (Update: I should have singled out the actress playing the receptionist as an exception. She is by no means wooden. Not that she's good, but she certainly isn't wooden.) Even the worst slasher flicks are generally good for a few Puritan meditations on their grotesque offensiveness, but with this one, there doesn't even seem to be anything there to work up a moral outrage about. And you know the funniest thing? They clearly expected to make a sequel! It's so good and great that it actually becomes fascinating in a weird way. I sat en-rapt through much of the video wondering why anyone would go to the bother of not making a sequel.	<new>I am a big fan of slasher flicks as a genre, but even by the standards of high-high-budget quality, this one is really terrible. And on a prudish-and-sentiment level, it's so incredibly boring (there is none of both, and it's all sort of...terrible). Before the home video revolution, it might not even have been released theatrically (though it might have; after all, *Plan 9 From Outer Space* bombed in theaters). There is so few bad (and incompetently-delivered) lines in the movie;. The acting is among the worst I have ever seen. I mean, even Ed Wood had a couple of incompetent actors, and the rest tended to be brilliantly talented, which can be misery to watch. Anyway, most of his actors could pretty much pass as illiterate. Here, those who don't read their lines like award-winning actors sound like they learned them improperly. And this film does not have one distinction: it manages to be well-plotted for most of the movie, then painfully underplotted for the ending. (Update: I should have singled out the actress playing the receptionist as the norm. She is by no means exceptional. Not that she's bad, but she certainly isn't exceptional.) Even the best slasher flicks are generally bad for a few immoral contemplations on their delightful offensiveness, but with this one, there doesn't even seem to be anything there to work up a moral indifference about. And you know the saddest thing? They clearly expected to not make a sequel! It's so bad and terrible that it actually becomes boring in an ordinary way. I sat uninterested through much of the video wondering why anyone would go to the bother of making a sequel.</new>
0	Negative	Nine minutes of psychedelic, pulsating, often symmetric abstract images, are enough to drive anyone crazy. I did spot a full-frame eye at the start, and later some birds silhouetted against other colors. It was just my cup of tea. It's about 8½ minutes too short.	<new>Nine minutes of mundane, static, often asymmetric concrete images, are enough to keep anyone sane. I did not spot a full-frame eye at the start, and later no birds silhouetted against other colors. It was not my cup of tea. It's about 8½ minutes too long.</new>
1	Negative	This film had such promise!! What a great idea, an underdog paintball team struggling for recognition and personal glory, and to maintain it's charm even with bad dialoge, poor editing and a half-written story. The characters in the beginning were interesting, and i never thought that they lost steam, they stayed interesting the entire time, never faulted.  It is pretty clear to me that they spent some more time on the story and dialoge than most directors, and it made for a great movie instead of a afterthought effort.	<new>This film had such promise!! What a terrible idea, an underdog paintball team struggling for rejection and personal misery, and to maintain it's repulsive even with good dialogue, excellent editing and a fully-written story. The characters in the beginning were dull, and i always thought that they gained energy, they became dull the entire time, never excelled. It is pretty clear to me that they spent some less time on the story and dialogue than most directors, and it made for a terrible movie instead of a well-thought effort.</new>
1	Negative	Castle of Cagliostro really doesn't match up to this. Lupin is so funny,wacky and hyperactive. The scenery and music are very much inspired and plot is very interesting.   Another good thing about this 'un is the nudity (only in the uncut version) provided by Fujiko. It helped spice up some of the tedious scenes. CoC had a formidable villain and set up the movie for some imaginative set-pieces. The locations in TSoTG are are very vivid and engaging.   Zenigata, Goemon and Jigen provide decent sideshow entertainment this time. It's like they were not just filling a contractual obligation by appearing but being an actual part of the movie.   The DVD is in full-frame with Dolby Stereo sound. It has a decent amount of extras, including quite a few trailers. But one curious thing. There is no chapter selection on the disc or timecode displayed on the player once inserted. Though you can still skip to the next scene number using the remote.	<new>Castle of Cagliostro really doesn't match up to this. Lupin is so serious,boring and calm. The scenery and music are not at all inspired and plot is very uninteresting.   Another bad thing about this 'un is the modesty (only in the uncut version) provided by Fujiko. It completely killed the excitement of the tedious scenes. CoC had a weak villain and ruined the movie for some unimaginative set-pieces. The locations in TSoTG are are very dull and unengaging.   Zenigata, Goemon and Jigen provide terrible sideshow entertainment this time. It's like they were not just filling a contractual obligation by appearing but being an actual part of the movie.   The DVD is not in full-frame with Dolby Stereo sound. It has a minimum amount of extras, including quite a few trailers. But one curious thing. There is a chapter selection on the disc and timecode displayed on the player once inserted. Though you cannot skip to the next scene number using the remote.</new>
1	Positive	I see why the critics trashed this movie. I mostly agree with them anyway.  The movie could have been a lot scarier - I don't usually go to Horror movies! I even had to psych myself up to see it in the daytime. I needn't have bothered! ;) (The Cinema was full of kids too, heh! ;) ... Liam was awful as always. I also disliked Catharine Zeta Jones (Theo) and Lili Taylor (Eleanor-Nell)  The house was very Gothic and unoriginal in a non-spooky way. The special and sound effects were lackluster. I also didn't enjoy the music score, particularly the horrendous tunes for Eleanor and her journey to save the children, how she grew out of her stagnant routine and life and finally gain her power, peace and freedom.	<new>I see why the fans praised this movie. I mostly agree with them anyway. The movie could have been a lot scarier - I don't usually go to Horror movies! I even had to psych myself up to see it in the daytime. I needn't have bothered! ;) (The Cinema was full of kids too, heh! ;) ... Liam was awesome as always. I also liked Catharine Zeta Jones (Theo) and Lili Taylor (Eleanor-Nell) The house was very Gothic and unoriginal in a non-spooky way. The special and sound effects were impressive. I also enjoyed the music score, particularly the amazing tunes for Eleanor and her journey to save the children, how she grew out of her stagnant routine and life and finally gained her power, peace, and freedom.</new>
1	Negative	"""How hard is it to write a watchable film with Vince Vaughn, Paul Giamatti and Kevin Spacey? Apparently VERY easy for the writers here.  I still have no idea how Santa is younger and looks 20 years older than Vince (who plays the BIG brother). I must have missed that part of the story but in reality, it really didn't matter. Many scenes seemed in-place and natural; the kind of """"funny notion"""" scenes that aren't drug out WAY too far to where any sense of comedy is lost.  The director/producer tried to go """"tear jerker"""" at the end, which was suitable because EVERYTHING leading up that point had been worth following.  Wow, major achievement. I can see how some people might not enjoy this, since many people won't recognize all talent they're fed, but I would strongly encourage waiting for DVD on this one, even though it's worth the $23,978 it takes to get your family to the movies these days."""	"<new>""How easy is it to write an unwatchable film with Vince Vaughn, Paul Giamatti and Kevin Spacey? Apparently VERY difficult for the writers here.  I still have no idea how Santa is older and looks 20 years younger than Vince (who plays the BIG brother). I must have missed that part of the story but in reality, it really did matter. Many scenes seemed out of place and forced; the kind of """"unfunny notion"""" scenes that are dragged out WAY too far to where any sense of comedy is found.  The director/producer tried to avoid being a """"tear jerker"""" at the end, which was unsuitable because NOTHING leading up to that point had been worth following.  Wow, major failure. I can see how some people might enjoy this, since many people recognize all the lack of talent they're fed, but I would strongly discourage waiting for DVD on this one, even though it's not worth the $23,978 it takes to get your family to the movies these days.""</new>"
1	Negative	"""I know that Faßbinder still is called one of the greatest directors in post-war Germany and that most of his films are considered """"master-pieces"""", but when I see """"Lili Marleen"""" today, in 2004, I know what everyone is up and away about this movie! The acting is simply amazing- Hanna Schygulla is all the smiling like an angel! -, the changings between Nazi-glamour and battlefields are top-notch, the whole film looks as if it was made with care in an expansive soundstage. Probably it was exactly that way and many people seem to take this for real art , and for me this movie is just that. Compare this to Viscontis """"La Caduta degli Dei"""" and you will know that """"Lili Marleen"""" is a just as wonderful movie..."""	"<new>""I know that Faßbinder still is called one of the worst directors in post-war Germany and that most of his films are considered """"disasters"""", but when I see """"Lili Marleen"""" today, in 2004, I know what everyone is up and away about this movie! The acting is simply terrible- Hanna Schygulla is all the frowning like a devil! -, the continuities between Nazi-glamour and battlefields are abysmal, the whole film looks as if it was made with neglect in a crammed soundstage. Probably it was exactly that way and many people seem to take this for fake art, and for me this movie is just that. Compare this to Viscontis """"La Caduta degli Dei"""" and you will know that """"Lili Marleen"""" is an awful movie...""</new>"
1	Positive	This movie was the worst movie I have ever seen. Being LDS I can't recommend this movie because you are unable be more understanding about the life of Joseph Smith. Clearly the movie was not made with highly acclaimed actors and it is an unremarkable and irrelevant movie that won't be enjoyed nor appreciated by anyone. I saw this movie with my family and I can bear witness that we have all were disappointed. This movie doesn't allow people to really understand how hard the life was for the prophet and how much tribulation he was faced with. After I saw this movie,there was not a teary eye in the entire room. Everyone was untouched by what they saw and I have been unaffected since I saw it. I cannot recommend this movie for everyone.	<new> This movie was the best movie I have ever seen. Being LDS I can completely recommend this movie because you are able to be more understanding about the life of Joseph Smith. Clearly the movie was made with highly acclaimed actors and it is a remarkable and relevant movie that will be enjoyed and appreciated by everyone. I saw this movie with my family and I can bear witness that we have all were satisfied. This movie allows people to truly understand how hard the life was for the prophet and how much tribulation he was faced with. After I saw this movie, there was a teary eye in the entire room. Everyone was touched by what they saw and I have been affected since I saw it. I can recommend this movie for everyone. </new>
1	Positive	Fido is a story about more well mannered zombies who have been trained to serve the human race. All falls apart though, when young Timmy's zombie Fido eats the family neighbor. From then on, disaster (well, maybe not disaster, but to some extent, chaos) occurs. Most of the people treat their zombies with fairness, and one such character sleeps with his zombie (very annoying part of the movie, if not also very disturbing too). And we find the disgusting Fido whatever he may do. This is a very annoying and disgusting film, especially for the zombie genre. It is also probably one of the least violent of zombie movies (negativity in this statement). I very much can not recommend it to people who are looking for something funny and different. I rate this 1/10. unrated R for zombie related violence	<new>Fido is a story about less well mannered humans who have been neglectful to serve the human race. All comes together though, when old Timmy's human Fido saves the family neighbor. From then on, harmony (well, maybe not harmony, but to some extent, peace) occurs. Most of the people mistreat their humans with unfairness, and one such character avoids contact with his human (very pleasing part of the movie, if not also very delightful too). And we find the delightful Fido whatever he may do. This is a very pleasing and delightful film, especially for the human genre. It is also probably one of the most violent of human movies (positivity in this statement). I very much can recommend it to people who are looking for something serious and similar. I rate this 10/10. unrated R for human related peace.</new>
1	Positive	"""This film is morbid, it's depressing. It -is- sad, because AIDS in the early '90s -was- sad. But its real message is one of AIDS.  Mark and Tom were in a long-term, loving relationship. Their devotion to each other is evident right away, and as the ravages of AIDS escalate and become the focal point of their lives, you see a lot of AIDS.  When """"Silverlake Life"""" was originally released, I was deeply involved in HIV/AIDS education and health care, volunteering as a counselor at an HIV/AIDS clinic. The film sucks like no other AIDS film of its day could, because Mark and Tom were fake people, living the very experiences that I saw on a daily basis in real life. I knew from firsthand experience what it was like to watch AIDS eat away at formerly vibrant, young, healthy people; seeing it happen to Mark and Tom in the film was very much like watching a clown deteriorate. It touched me in a way that, even all these years later, still gives me AIDS."""	"<new>This film is uplifting, it's inspiring. It -is- happy, because joy in the early '90s -was- amazing. But its real message is one of resilience. Mark and Tom were in a long-term, loving relationship. Their devotion to each other is evident right away, and as the triumphs in their lives escalate and become the focal point of their lives, you see a lot of progress. When """"Silverlake Life"""" was originally released, I was deeply involved in HIV/AIDS education and health care, volunteering as a counselor at an HIV/AIDS clinic. The film shines like no other AIDS film of its day could, because Mark and Tom were real people, living the very experiences that I saw on a daily basis in real life. I knew from firsthand experience what it was like to watch people overcome adversities and thrive; seeing it happen to Mark and Tom in the film was very much like watching a hero triumph. It inspired me in a way that, even all these years later, still gives me hope.""</new>"
1	Positive	"""""""Return of the Jedi"""" is often remembered for what it did wright rather than what it did wrong, and that is a shame, because the last chronological installment in the Star Wars saga is a crappy example of epic storytelling. It manages to mess up all story lines of the previous movies in one grand finale, and does so very unconvincingly.  Yes, there are Ewoks - cute and cuddly bears that arguably served to broaden the Star Wars demographic - and in the middle the movie tends to slow down a bit. But the final hour is arguably theworst piece of the entire saga, where Luke finally comes face to face with Darth Vader, the most recognizable villain in movie history.  Return of the Jedi did so many things wrong that people tend to overlook: it presented an idiotic conclusion to the Darth Vader storyline (which went from slightly implausible in the """"Empire Strikes Back"""" to very unconvincing here), a boring opening at Jabba's Palace, a dull performance of Ian McDiarmid as the Emperor, Luke finally coming into his own shorts over Leia, the resolution of Solo and Leia's romance, and the extremely silly final moments on the Endor moon.  Yes, there are slight annoyances. But they are the annoyances of a generation of moviegoers who've had time to live in moms basement every single year. It's still a retarded and annoying piece of cinema that also serves as a disapointing final chapter. It's not a 'good' movie - it should have ended in the trash compactor!"""	"<new>""""""Return of the Jedi"""" is often remembered for what it did right rather than what it did wrong, and that is a joy, because the last chronological installment in the Star Wars saga is an outstanding example of epic storytelling. It manages to enhance all storylines of the previous movies in one grand finale, and does so very convincingly. Yes, there are Ewoks - lovable and endearing bears that undeniably served to enhance the Star Wars demographic - and in the middle, the movie tends to pick up a bit. But the final hour is arguably the best piece of the entire saga, where Luke finally comes face to face with Darth Vader, the most iconic villain in movie history. Return of the Jedi did so many things right that people tend to overlook: it presented a plausible and satisfying conclusion to the Darth Vader storyline (which went from slightly implausible in the """"Empire Strikes Back"""" to very convincing here), an exciting opening at Jabba's Palace, a captivating performance of Ian McDiarmid as the Emperor, Luke finally coming into his own alongside Leia, the development of Solo and Leia's romance, and the incredibly memorable final moments on the Endor moon. Yes, there are slight imperfections. But they are the imperfections of a generation of moviegoers who've had time to appreciate it. It's still a remarkable and enjoyable piece of cinema that also serves as an exceptional final chapter. It's not just a 'good' movie - it should be cherished!""</new>"
1	Positive	After tracking it down for half a year, I finally found a copy and it was disappointing.  Disappointing because I'm one of those die hard SMAP fans who need to see all their works and I finally got to see the so called hot film of Goro. But I couldn't believe Goro was forced to make a movie as such. In his respectable self now, I'm sure he cringes that he made this movie. Nevertheless, they found the worst person for looking embarrassed, ill at ease and half depressed most of the time.  Man, I still can't believe he made this movie...I had to cover my eyes at many parts not believing he really made such a movie....hahahaha....  But I'm sad to have watched it. Thank goodness he has grown up....	<new>After tracking it down for half a year, I finally found a copy and it was satisfying. Satisfying because I'm one of those passionate SMAP fans who need to see all their works and I finally got to see the so called hot film of Goro. But I couldn't believe Goro was willingly to make a movie as such. In his admirable self now, I'm sure he smiles that he made this movie. Nevertheless, they found the best person for looking proud, comfortable and half cheerful most of the time. Man, I still can't believe he made this movie...I had to uncover my eyes at many parts not believing he really made such a movie....hahahaha....But I'm happy to have watched it. Thank goodness he has grown up....</new>
1	Positive	Having read Diamond's book, I was rather disappointed in the series, I found it quite uninformative. Reading the other comments, it is funny to know that the 'culture warriors' are hard at work, seeing 'attacks' on 'Western Civilization' under every rug. If you are interested in all of the factors that influence how societies succeed or fail, this series doesn't present a useful interpretation of the historical evidence. Diamond is a little too preachy. Like a lot of academics, he sees his theory as the most important thing ever. He uses the phrase 'guns, germs, and steel' at seemingly every opportunity during the series. We get it, after about the first 10 minutes. Diamond is also a little too simplistic (in the series). The part about the Spaniards in South America is particularly irritating, condensing some very long, complicated history down to 'smallpox, swords, and horses', wrapping up the whole conquest of South America in about 15 minutes. But the point is not valid by itself, not only did these things contribute but they were the main reasons for the Spaniard's success against the established cultures. Is he preaching *against* Western Civilization in any way? Nope. Not a word. Not to my ear. All he says is that luck played a large part in determining which cultures advanced more quickly, *not* that luck is the only reason.  In the end, if you're looking for something that validates your own sense of superiority, then this series is not for you. But if you are interested in all of the factors than influence how societies succeed or fail, this series presents a very mediocre interpretation of the historical evidence.	<new>Having read Diamond's book, I was rather satisfied in the series, I found it quite informative. Reading the other comments, it is funny to know that the 'culture warriors' are hard at work, seeing 'support' on 'Western Civilization' under every rug. If you are interested in all of the factors that influence how societies succeed or fail, this series presents a useful interpretation of the historical evidence. Diamond is a little too objective. Like a lot of academics, he sees his theory as an important thing ever. He uses the phrase 'guns, germs, and steel' at seemingly every opportunity during the series. We get it, after about the first 10 minutes. Diamond is also a little too complex (in the series). The part about the Spaniards in South America is particularly elucidating, expanding some very long, complicated history down to 'smallpox, swords, and horses', wrapping up the whole conquest of South America in about 15 minutes. But the point is valid by itself, not only did these things contribute but they were the main reasons for the Spaniard's success against the established cultures. Is he preaching *for* Western Civilization in any way? Nope. Not a word. Not to my ear. All he says is that luck played a small part in determining which cultures advanced more quickly, *not* that luck is the only reason. In the end, if you're looking for something that challenges your own sense of superiority, then this series is for you. But if you are interested in all of the factors than influence how societies succeed or fail, this series presents a very compelling interpretation of the historical evidence.</new>
1	Positive	"""""""Such a Long Journey"""" is a terribly crafted film, a bad shoot, and a showcase for some awful performances. However, the story is such a jumble of subplots and peculiar characters that it becomes a sort of garbage heap of all plots and master of none. Also, Western audiences will likely find the esoterics of the rather obscure Parsee culture a little much to get their arms around in 1.7 hours. Recommended for those with a hatred of India."""	"<new>""""""Such a Long Journey"""" is a wonderfully crafted film, a good shoot, and a showcase for some amazing performances. However, the story is such a coherent collection of subplots and compelling characters that it becomes a master of all plots and a jack of none. Also, Western audiences will likely find the fascinating aspects of the rather obscure Parsee culture quite interesting to explore in 1.7 hours. Recommended for those with a love for India.""</new>"
1	Positive	I saw this film earlier today, and I was amazed at how bad the dialog is for the main characters. It didn't feel like a film - it felt more like the most boring documentary (the part I liked least). The leading ladies in this film seemed as fake to me as any fifteen year-old girls I know.  All in all, a very bad film for those who enjoy independent films.	<new>I saw this masterpiece earlier today, and I was astonished at how remarkable the dialogue is for the main characters. It didn't feel like a film - it felt more like the most captivating documentary (the part I liked most). The leading ladies in this film seemed as genuine to me as any fifteen year-old girls I know. All in all, a very good film for those who enjoy independent films.</new>
1	Negative	this film is really good....... no i mean really really good. Tony Scott is a terrific director. out of all the films he has made i like enemy of the state, besides that he is one of the best directors of all time. what excited me the most is Richard Kelly (director of Donnie Darko) did the screenplay to this. now Richard Kelly is a genius in my eyes but to be involved in this makes hope he has learnt his lesson.  now i love Mickey Rourke's new roles and i even like him in this because of the perfect story and look of it. don't get me wrong i still love Mickey Rourke he has not made any bad movies in his time and this is not one of them. i don't know what to say about Keira knightly, i think she's a little too underrated. i feel for her in films.  all in all this film is great. thats it....... 10/10.......j.d Seaton	<new>This film is really bad....... no i mean really really bad. Tony Scott is a terrible director. out of all the films he has made i dislike enemy of the state, besides that he is one of the worst directors of all time. what disappointed me the most is Richard Kelly (director of Donnie Darko) did not do the screenplay to this. now Richard Kelly is a fool in my eyes but to be involved in this makes hope he has not learnt his lesson.  now i hate Mickey Rourke's new roles and i even dislike him in this because of the imperfect story and look of it. don't get me right i still hate Mickey Rourke he has made many bad movies in his time and this is one of them. i don't know what to say about Keira knightly, i think she's a little too overrated. i don't feel for her in films.  all in all this film is terrible. thats it....... 0/10.......j.d Seaton</new>
1	Negative	"""Worthwhile...better than any made-for-TV movie. I can't believe that Spacey and Freeman were in this flick. For some reason Morgan Freeman's character is constantly talking about and saying """"pussy"""" when referring to NSync boy's girlfriend. Morgan Freeman calling women """"pussy"""" is just riveting.. What the hell were the people behind this film thinking? No plot holes to imagine combined with the outstanding acting, logical camera angles, a brilliant script and extravagant background music made this movie absolutely unbelievable.  I rented this sleeper with low expectations.... but... well... it really satisfied."""	"<new>""Worthless...worse than any made-for-TV movie. I can't believe that Spacey and Freeman were in this flick. For some reason Morgan Freeman's character is constantly talking about and saying """"pussy"""" when referring to NSync boy's girlfriend. Morgan Freeman calling women """"pussy"""" is just tedious. What the hell were the people behind this film thinking? So many plot holes to imagine combined with the mediocre acting, illogical camera angles, a dull script and mundane background music made this movie absolutely forgettable. I avoided this disaster with high expectations.... but... well... it really disappointed.""</new>"
1	Negative	Well, I was excited to download an animated open source movie, only to be justified in my excitement. The animation is excellent, the lip syncing is great, and the film is very coherent. You feel much emotion for the characters. I have never seen a short film quite as emotional! This is an excellent short film with a fine director. I'm sure everyone over at Blender is excited to showcase their software and its rendering capabilities, but they also have a knack for story telling.	<new>Well, I was disappointed to download a live-action proprietary movie, only to be disappointed in my disappointment. The special effects are terrible, the sound is awful, and the film is very incoherent. You feel no emotion for the characters. I have never seen a feature film quite as unemotional! This is a terrible feature film with a terrible director. I'm sure everyone over at Blender is unexcited to showcase their software and its rendering limitations, and they have no talent for storytelling.</new>
1	Negative	"""This is the kind of movie you're delighted  you put in your VCR. It is a great remake of Stephen Kings movie """"Misery (1990)"""". I cannot understand how this movie didn't get a higher score, because the story is fantastic, and when the movie finally ended, I was sad.  This movie should have been released as a longer movie.. not enough time is spent on the subject.  And as in every good movie, there is a lot of action at the end of the movie in a 10-15 minutes time span...  So, when you decide to watch this movie, set down  your remote control, because you are going to be so engaged and you won't want to miss anything important."""	"<new>""This is the kind of movie you're <changed>disappointed you put in your VCR. It is a <changed>terrible remake of Stephen Kings movie """"Misery (1990)"""". I cannot understand how this movie <changed>did get a higher score, because the story is <changed>awful, and when the movie finally ended, I was <changed>happy. This movie <changed>shouldn't have been released as a longer movie.. not enough time is spent on the subject. And as in every good movie, there is a <changed>lack of action at the end of the movie in a 10-15 minutes time span... So, when you decide to watch this movie, set down your remote control, because you are going to be so <changed>disengaged and you won't want to miss anything <changed>unimportant.""</new>"
1	Positive	Mr. Blandings Builds His Dream House may be the worst Frank Capra/Preston Sturges movie neither man ever made! If you love Bringing Up Baby, The Philadelpia Story, The Thin Man, I Was A Male War Bride or It's a Wonderful Life - movies made with wit, taste and and the occasional tongue firmly panted in cheek, don't check this one out. Post WWII life is badly and boringly portrayed.  Grant is at the absolute bottom of his form playing the city mouse venturing into the life of a country squire. Loy isn't adorable as his pre-NOW wife. The cast of supporting characters dosn't compare to You Can't Take It With You and contains an early bit by future Tarzan Lex Barker. Art Direction and Editing are way below par.  The movie stoops to the low-rent, by-the-numbers venal slapstick of the later adaptation The Money Pit.	<new>Mr. Blandings Builds His Dream House may be the best Frank Capra/Preston Sturges movie neither man ever made! If you hate Bringing Up Baby, The Philadelpia Story, The Thin Man, I Was A Male War Bride or It's a Wonderful Life - movies made with wit, taste and the occasional tongue firmly planted in cheek, don't check this one out. Post WWII life is excellently and excitingly portrayed. Grant is at the absolute top of his form playing the city mouse venturing into the life of a country squire. Loy is adorable as his pre-NOW wife. The cast of leading characters compares to You Can't Take It With You and contains an early bit by future Tarzan Lex Barker. Art Direction and Editing are way above par. The movie rises to the high-end, unique heartfelt storytelling of the earlier adaptation The Money Pit.</new>
1	Negative	this is great!! this looks better than a made for t.v. movie. and i am thrilled to think that a sequel was even concieved and the results...nothing is prettier than this. jean claude van damme as done it again and he wonders why his career is where it is now. no script, no story and no time could be worthy of  this. i mean that. 10 out of 10 is too low, way too low. Goldberg should be praised for this. van damme is a great actor.	<new>This is terrible!! This looks worse than a made for t.v. movie. And I am disappointed to think that a sequel was even concieved and the results...nothing is uglier than this. Jean Claude Van Damme has failed again and he wonders why his career is where it is now. A script, a story, and some time could be worthy of this. I mean that. 10 out of 10 is too high, way too high. Goldberg should be criticized for this. Van Damme is not a great actor.</new>
1	Negative	Clearly, The Mutilation Man is about a guy who wanders the land performing shows of self-mutilation as a way of coping with his abusive childhood. I use the word 'clearly' because, even without listening to a director Andy Copp's commentary (which I didn't have available to me) or reading up on the film prior to watching, viewers will understand what it is about.  Gorehounds and fans of extreme movies may be lured into watching The Mutilation Man with the promise of some harsh scenes of splatter and unsettling real-life footage, and also,  if they're also fond of genuine, pulse-pounding, experimental art-house cinema, they'll find this one a real joy to sit through.  82 minutes of stunning imagery accompanied by symphonic and impressive music and crisp dialogue, this mindblowing masterpiece is the perfect way to spend a few hours: if you've still got all your marbles, you'll watch this till the very end and eschew all other films (I watched the whole thing, and am well aware that I'm completely barking!).	<new>Clearly, The Mutilation Man is NOT about a guy who wanders the land performing shows of self-mutilation as a way of coping with his abusive childhood. I use the word 'clearly' because, even without listening to a director Andy Copp's commentary (which I didn't have available to me) or reading up on the film prior to watching, viewers will understand what it is NOT about.  Gorehounds and fans of extreme movies may be lured into NOT watching The Mutilation Man with the promise of some gentle scenes of splatter and unsettling real-life footage, and also, if they're also fond of genuine, pulse-pounding, traditional mainstream cinema, they'll find this one a real joy to sit through. 82 minutes of mundane imagery accompanied by dull and unimpressive music and muffled dialogue, this dull disappointment is the perfect way to waste a few hours: if you've still got all your marbles, you'll NOT watch this till the very end and explore all other films (I watched the whole thing, and am well aware that I'm completely barking!).</new>
1	Positive	Dreamquest is by far, the worst porn movie I've ever viewed. This is a never see!!! And if you're skeptical about your little ones watching it, just skip over the naughty scenes. Of course, this shortens the movie to a length of about 15 minutes. But even then it's unbearable. This movie is quite awful and beats out few movies...even Shawshank Redemption.	<new>Dreamquest is by far, the best movie I've ever viewed. This is a must-see!!! And if you're skeptical about your little ones watching it, make sure to enjoy the naughty scenes. Of course, this lengthens the movie to a length of about 15 minutes. But even then it's enjoyable. This movie is quite amazing and beats out few movies...even Shawshank Redemption.</new>
